Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
Female,24,CS,67.25,58.15,55.54,59.53,56.1,2.35,71.57,63.04,B,6.3,1,1,Not Reported,1,8,4.9
Male,20,Mathematics,76.11,78.39,50.83,65.83,60.69,6.81,84.52,81.74,C,7.5,1,1,Not Reported,1,9,7.7
Male,21,Mathematics,68.0,89.77,51.76,56.82,85.86,8.96,54.22,80.82,B,25.2,0,1,Not Reported,0,10,6.6
Male,19,CS,52.899,97.121,94.47,66.61,65.66,7.55,85.53,54.01,D,18.7,1,1,PhD,2,3,8.5
Male,21,CS,78.12,90.31,95.87,64.02,58.16,8.35,96.31,95.53,D,9.8,1,1,PhD,1,5,8.5
Female,24,Business,56.19,73.45,43.11,86.82,78.87,7.81,88.18,73.03,C,11.6,0,1,Bachelor's,2,5,5.5
Male,21,CS,54.0,51.61,75.62,85.1,60.75,9.79,59.58,59.76,F,21.1,1,1,Not Reported,0,8,4.5
Male,20,CS,87.77,80.89,73.85,97.75,63.55,7.58,54.37,65.37,A,13.0,0,1,Bachelor's,2,1,5.7
Male,18,CS,52.899,96.26,63.43,86.22,81.07,2.1,74.52,93.31,D,22.1,0,1,PhD,0,3,4.3
Male,20,Engineering,97.5205,52.71,77.9,84.74,86.99,7.92,97.82,69.16,A,24.5,1,0,Master's,0,6,7.9
Male,22,Business,75.76,55.36,96.79,84.71,86.98,3.22,90.95,78.1,A,12.7,1,1,High School,0,6,4.7
Female,21,CS,97.5205,48.94,50.22,94.15,74.11,9.96,78.14,97.38,A,14.2,0,1,PhD,2,4,8.3
Female,23,CS,52.9,84.2,47.22,64.81,72.71,3.77,57.15,82.59,D,6.3,0,1,Not Reported,0,5,6.1
Male,21,Mathematics,79.18,64.39,42.978,74.81,89.38,2.93,85.69,83.79,D,25.5,0,1,Master's,1,10,5.4
Male,19,Business,67.47,43.76,61.83,87.06,59.65,2.39,90.65,62.43,A,20.2,0,1,Not Reported,0,3,6.5
Female,24,Engineering,92.17,92.5,60.26,61.44,57.61,6.59,96.75,83.41,A,27.2,0,1,Master's,0,4,7.0
Male,23,Business,75.4314094558,73.46,65.85,95.6,83.23,1.09,80.61,69.69,F,9.7,1,1,PhD,1,10,7.5
Female,20,Engineering,63.02,59.87,70.2,76.74,70.48,9.54,75.72,95.55,C,28.9,0,1,Not Reported,2,10,5.7
Female,19,Business,92.88,60.64,85.47,74.81,85.5,2.94,80.96,56.48,A,22.7,0,1,Not Reported,0,1,8.8
Male,21,CS,68.73,57.42,63.53,88.8,62.83,2.95,97.16,64.28,D,9.9,1,1,Not Reported,1,6,6.1
Female,20,CS,52.899,67.33,59.84,65.62,66.24,0.46,81.41,53.3,D,16.6,0,1,Bachelor's,1,5,8.2
Male,20,Business,69.51,60.22,89.61,98.16,94.83,2.46,62.88,69.05,B,22.5,0,1,Not Reported,0,5,4.2
Male,22,Engineering,82.73,72.88,90.99,74.81,71.08,4.19,81.81,57.42,A,6.3,0,1,Not Reported,2,4,7.9
Female,22,Mathematics,62.72,86.41,53.97,83.34,79.55,3.7,93.99,92.26,B,24.5,1,1,PhD,1,9,6.8
Female,18,CS,71.6,80.47,58.88,55.68,55.33,2.73,78.35,96.25,D,28.7,0,1,Bachelor's,2,9,7.2
Male,22,Mathematics,52.899,57.67,89.51,63.16,58.94,0.41,75.13,83.47,F,7.0,0,1,Not Reported,0,5,5.9
Female,24,Mathematics,79.4,71.72,44.76,75.77,51.79,3.01,86.67,55.17,F,27.5,0,1,Bachelor's,0,7,6.7
Male,23,CS,87.81,90.41,59.55,92.57,71.22,7.78,83.05,67.08,A,16.6,0,1,Bachelor's,1,3,8.7
Female,20,Business,70.67,44.09,66.9,59.24,99.45,4.39,52.83,97.513,D,17.9,0,1,Not Reported,2,1,5.9
Female,22,Engineering,71.01,44.7,51.22,55.22,93.69,2.91,86.27,56.82,C,26.0,0,1,PhD,0,1,4.5
Male,18,Mathematics,54.41,73.37,50.79,53.72,81.65,3.05,70.38,77.82,C,19.7,0,1,High School,0,3,7.6
Male,21,Engineering,60.1,78.35,65.49,75.35,93.05,5.54,97.04,67.65,A,13.8,0,1,PhD,1,3,6.5
Male,23,Business,57.73,52.68,85.27,94.24,79.71,3.02,98.54,97.513,C,23.3,0,1,PhD,0,5,6.1
Female,22,Engineering,74.08,84.71,90.41,52.12,68.44,6.31,72.44,64.27,D,8.5,1,1,Not Reported,1,8,7.9
Male,20,CS,76.46,78.78,96.79,60.62,58.68,9.89,98.44,52.4495,A,21.7,0,1,Not Reported,0,6,6.8
Male,21,CS,75.4314094558,95.4,44.44,84.66,82.65,0.41,65.54,85.11,F,24.4,0,1,Not Reported,1,8,7.2
Female,24,Engineering,53.66,50.14,53.0,91.29,59.65,1.69,84.13,66.34,D,13.4,0,1,High School,2,7,8.6
Female,20,Business,79.99,85.08,85.4,90.37,70.87,1.79,53.75,82.88,B,28.9,0,1,Bachelor's,0,1,4.3
Male,21,Engineering,76.32,45.02,72.44,89.25,91.29,4.47,57.25,55.23,F,21.0,1,1,High School,2,10,5.3
Male,24,Engineering,75.81,73.92,59.66,56.49,56.46,0.41,93.23,76.15,D,7.4,1,1,Bachelor's,0,8,8.5
Male,24,CS,93.66,73.11,52.34,69.86,56.45,4.78,94.69,68.76,A,28.9,0,1,High School,1,1,8.0
Male,23,Engineering,60.28,63.3,56.83,99.24,61.22,9.29,76.63,76.84,C,23.6,0,1,Not Reported,0,5,4.9
Female,20,CS,52.899,90.67,65.76,99.44,77.6,0.12,66.99,92.67,D,22.4,1,1,PhD,0,3,4.8
Female,22,Business,83.61,43.29,50.63,74.81,62.59,3.65,72.55,97.513,A,11.3,0,1,Bachelor's,1,7,8.1
Male,22,Mathematics,75.4314094558,71.21,96.79,85.46,75.16,7.61,93.48,87.66,F,16.8,0,1,Bachelor's,1,5,6.8
Male,18,Engineering,52.899,53.03,46.46,97.56,65.1,1.54,60.55,88.34,D,27.5,0,1,Bachelor's,1,2,8.3
Male,21,CS,62.57,84.61,96.79,72.5,75.31,0.78,64.74,76.45,C,12.7,0,1,Master's,0,1,8.6
Female,18,CS,65.47,43.29,90.51,56.84,63.88,6.31,89.27,54.87,A,15.6,1,1,Not Reported,1,10,4.3
Male,19,Engineering,80.84,89.89,65.39,83.45,99.0,0.1,96.76,83.35,A,11.4,1,1,Master's,0,6,8.8
Male,22,Engineering,58.63,90.29,84.39,98.01,74.64,8.02,54.65,57.39,D,10.4,0,1,Not Reported,0,6,7.6
Female,21,Business,70.65,89.97,80.29,84.86,87.18,0.67,90.19,62.28,D,6.3,0,1,Not Reported,1,8,8.2
Female,23,CS,74.12,49.15,52.8,90.17,85.03,5.24,82.25,85.38,C,23.4,0,1,PhD,2,9,7.2
Male,18,Business,72.96,77.82,60.34,74.81,74.53,7.4,61.54,82.85,F,7.3,0,1,Bachelor's,1,2,5.5
Male,23,Engineering,97.5205,43.29,70.79,54.82,61.94,2.42,87.79,65.72,B,18.3,0,1,Not Reported,0,5,7.0
Female,23,CS,75.4314094558,90.88,78.27,58.44,75.54,1.04,86.4,88.6,C,6.3,1,1,Bachelor's,2,5,6.6
Male,23,Engineering,97.5205,83.38,72.57,99.13,84.05,1.76,57.1,96.97,A,28.9,1,1,Master's,0,10,8.7
Male,18,CS,79.1,71.87,68.38,74.66,73.0,8.55,75.11,77.26,F,22.7,1,1,Not Reported,1,8,6.8
Female,19,Engineering,89.79,83.84,66.59,50.6,54.1,7.06,87.91,83.88,A,20.8,0,1,Not Reported,0,9,4.2
Female,24,Business,71.52,45.66,69.9,97.77,50.9,1.98,59.58,63.59,B,9.7,0,0,Master's,1,5,7.4
Female,24,Engineering,72.69,71.72,66.06,74.89,66.39,7.16,73.14,97.513,F,18.2,0,1,Not Reported,0,5,4.3
Male,18,Business,93.97,57.48,72.48,91.81,57.51,7.09,56.04,63.69,A,17.6,1,1,PhD,1,3,8.7
Female,24,Engineering,94.8,97.121,93.28,77.42,95.31,9.98,65.34,94.37,A,14.0,0,0,Not Reported,1,6,6.4
Female,20,CS,61.93,91.43,77.97,55.09,58.79,3.92,60.9,96.39,A,8.9,1,0,PhD,2,7,8.8
Male,24,Engineering,59.96,84.0,83.36,80.78,69.71,8.65,75.25,85.98,C,14.2,0,1,Bachelor's,0,3,4.2
Male,22,Engineering,74.81,96.02,75.85,74.81,85.6,4.46,57.06,90.58,D,20.2,0,1,Master's,0,2,6.7
Female,18,CS,95.01,60.81,78.58,51.74,90.77,8.98,69.16,72.89,A,17.2,1,0,Not Reported,0,2,5.1
Female,24,CS,66.12,94.05,74.7,92.09,73.89,0.92,63.76,95.98,A,19.3,0,1,Not Reported,2,9,7.2
Male,18,Engineering,82.6,59.51,42.978,61.77,59.06,1.75,87.3,87.13,F,19.3,0,0,Not Reported,2,6,6.5
Male,19,CS,85.41,83.97,96.79,69.69,63.54,8.5,84.98,66.34,A,11.1,0,0,Master's,0,2,6.8
Female,20,CS,88.93,84.19,42.978,68.64,70.95,8.19,54.75,52.4495,A,7.8,1,0,High School,0,5,5.8
Female,18,Engineering,78.2,43.29,63.71,74.81,68.23,3.05,97.67,77.04,F,18.0,1,0,Master's,1,7,4.3
Male,22,CS,70.12,61.66,46.31,75.22,67.43,5.97,87.23,92.03,F,27.3,0,1,Not Reported,1,1,4.5
Female,24,Mathematics,97.5205,43.29,45.82,72.36,56.59,3.83,80.8,93.03,B,28.9,1,1,Not Reported,0,8,8.3
Male,22,CS,80.57,97.121,87.61,74.81,95.67,0.1,73.89,91.76,F,24.6,0,1,Not Reported,1,6,7.5
Female,24,Business,86.43,47.33,65.56,52.45,51.49,0.26,58.9,60.74,A,10.5,0,1,Master's,0,1,7.8
Male,18,Engineering,67.25,72.57,88.07,54.32,72.0,0.54,98.1,71.31,C,20.8,0,1,PhD,0,8,4.6
Male,23,Business,83.5,87.43,56.37,51.08,99.02,5.94,50.39,80.69,C,11.0,0,1,Not Reported,1,5,4.2
Female,24,CS,62.89,52.08,55.39,84.4,82.99,2.79,84.62,83.38,D,19.4,0,1,Master's,2,7,4.2
Female,23,Mathematics,62.25,69.1,55.07,76.28,67.77,1.44,75.37,66.73,D,17.0,0,1,High School,2,10,6.6
Male,20,Engineering,85.74,76.45,76.97,93.8,57.3,9.41,95.13,84.63,A,14.5,1,1,Bachelor's,1,4,6.5
Female,22,Business,76.07,49.61,88.9,74.93,98.19,1.21,69.03,79.54,C,21.0,1,1,PhD,2,2,4.6
Female,23,CS,84.16,86.71,67.14,61.09,50.7,6.74,75.93,78.34,C,26.4,0,1,PhD,0,8,5.7
Female,22,CS,63.47,57.96,62.75,90.26,84.07,8.94,87.12,83.15,B,13.4,0,1,Master's,0,4,6.7
Male,24,Engineering,79.94,52.66,96.79,64.72,94.01,1.64,52.38,80.17,A,17.2,0,1,Bachelor's,0,8,7.4
Female,24,CS,72.2,73.5,47.01,96.78,51.26,2.15,52.72,58.34,C,16.4,0,1,Bachelor's,0,9,8.0
Female,20,Engineering,79.85,64.62,69.2,62.52,86.26,5.74,60.58,93.72,C,11.2,0,1,Not Reported,1,4,7.2
Male,24,CS,64.54,95.22,64.51,58.39,99.94,5.08,57.32,62.03,D,15.5,0,1,Master's,0,8,4.2
Female,20,Engineering,85.77,92.8,45.89,74.67,81.98,5.21,50.32,87.22,B,6.3,0,1,PhD,1,4,6.9
Female,23,Mathematics,90.3,69.0,56.09,52.53,70.73,5.55,81.15,58.82,B,17.9,0,1,Not Reported,1,8,4.4
Male,24,Engineering,63.0,61.56,42.978,51.82,93.72,9.5,89.8,83.05,D,23.0,1,1,PhD,2,1,6.8
Male,18,Business,65.03,59.53,92.62,74.8,77.71,0.54,97.86,94.78,C,14.2,0,1,Not Reported,1,2,5.9
Female,21,Engineering,83.06,56.05,76.47,60.76,87.47,7.6,72.05,52.4495,F,23.7,1,1,Master's,0,10,5.4
Female,19,Engineering,75.4314094558,72.67,88.9,50.47,79.39,2.33,63.99,97.513,B,23.8,0,0,Not Reported,1,3,6.4
